ibge_municipio,codigo_wmo,distancia_km,uf
5200050,A002,26.75,GO
3100203,A536,39.58,MG
2300101,A315,25.8,CE
2900108,A430,15.98,BA
2900207,A329,32.56,BA
4100103,A842,29.66,PR
4200051,A898,31.32,SC
1500131,A214,28.07,PA
4200101,A876,17.36,SC
3100302,A556,30.67,MG
2600054,A301,18.85,PE
2900306,A417,49.32,BA
2300150,A314,28.11,CE
2300200,A360,26.18,CE
2400109,A316,49.95,RN
2200053,A330,11.74,PI
4300034,B828,4.05,RS
2300309,A319,39.49,CE
5100102,A944,41.47,MT
5200134,A027,48.5,GO
2400208,A372,7.11,RN
3500105,A734,42.99,SP
3500204,A735,32.88,SP
2900355,A419,21.61,BA
2400307,A317,38.63,RN
3200102,A657,3.55,ES
2100105,A206,43.84,MA
2600203,A330,44.65,PE
2600302,A341,14.74,PE
2200103,A362,13.97,PI
4200200,A863,17.31,SC
4200309,A863,17.96,SC
3100609,A541,31.8,MG
5100201,A908,6.76,MT
2200202,A362,9.37,PI
2700102,A371,44.22,AL
5000203,A756,0.34,MS
3100708,A520,9.25,MG
4200408,A841,18.99,SC
2100154,A308,46.26,MA
3200169,A540,25.84,ES
2900405,A441,35.72,BA
2400406,A358,49.59,RN
2600401,A357,6.35,PE
4300059,A839,37.11,RS
3500303,A738,32.5,SP
3500402,A530,34.54,SP
4200507,A895,34.17,SC
3500501,A739,19.01,SP
3500550,A725,39.37,SP
3500600,A726,28.21,SP
4200556,A895,31.68,SC
5200258,A042,14.87,GO
4200606,A870,21.52,SC
3101003,A549,0.96,MG
4300109,B854,18.16,RS
3500709,A705,13.13,SP
4100301,A862,37.43,PR
3200136,A540,34.16,ES
2500205,A373,25.37,PB
1700301,A224,12.43,TO
3101102,A534,3.95,MG
2900603,A445,22.25,BA
3101201,A635,45.66,MG
4300208,B843,10.11,RS
3101300,A635,23.44,MG
2500304,A310,12.89,PB
2500403,A310,9.81,PB
2500502,A310,20.66,PB
2600609,A309,30.66,PE
3500758,A713,34.73,SP
3101409,A739,30.82,MG
2100204,A203,25.88,MA
2300507,A306,28.81,CE
2500536,A328,31.05,PB
2900801,A405,25.14,BA
2100303,A237,25.76,MA
4300307,A810,37.33,RS
3200201,A617,5.19,ES
4300406,B847,9.56,RS
4300455,A805,26.11,RS
3101508,A629,13.71,MG
5200308,A046,42.85,GO
3101607,A567,28.38,MG
3200300,A615,1.33,ES
3500808,A707,18.61,SP
3101631,A502,8.33,MG
4200705,A870,28.2,SC
2500577,A310,33.82,PB
2500601,A320,32.69,PB
2900900,A410,49.8,BA
1700400,A053,32.05,TO
3101706,A508,1.48,MG
4100400,B806,14.68,PR
4300471,B842,25.15,RS
5200506,A003,39.78,GO
3101805,A532,16.0,MG
4300505,B846,28.02,RS
3101904,A516,28.74,MG
5100250,A924,25.5,MT
1500602,A253,21.78,PA
4100459,B803,26.79,PR
2600807,A341,14.85,PE
3501004,A561,29.42,SP
3501103,A727,45.77,SP
4300554,A883,18.22,RS
2100436,A220,38.85,MA
2100477,A255,49.04,MA
5100300,A909,2.77,MT
4200754,A841,45.03,SC
5100359,A943,35.22,MT
3102050,A556,37.22,MG
2400703,A317,24.4,RN
4300570,B818,24.96,RS
3153509,A556,28.51,MG
2200301,A376,44.18,PI
5100508,A949,18.43,MT
4128625,A816,34.04,PR
1100403,A940,47.0,RO
5200605,A024,1.47,GO
4100608,A835,49.84,PR
2100501,A223,0.65,MA
4100707,A825,43.57,PR
3102100,A502,43.57,MG
3200359,A540,31.48,ES
2300705,A332,47.53,CE
5100607,A934,2.18,MT
2200400,A312,37.68,PI
3501152,A713,35.7,SP
1300029,S117,18.77,AM
3501202,A729,10.71,SP
3501301,A707,8.15,SP
3501400,A763,30.4,SP
3501509,A763,31.16,SP
1700707,A054,45.61,TO
4300604,B808,6.1,RS
3102407,A533,44.7,MG
2200459,A336,10.51,PI
5200803,A017,45.45,GO
5000609,A750,15.67,MS
4100905,A869,32.98,PR
2600906,A357,34.73,PE
4300638,A838,40.49,RS
2200509,A377,21.34,PI
2901007,A434,2.1,BA
2901106,A413,31.59,BA
2901155,A424,48.08,BA
3501608,A726,30.01,SP
5200852,A014,38.56,GO
3501707,A711,36.73,SP
3501806,A729,26.68,SP
4300646,A854,24.64,RS
2300754,A359,30.01,CE
5200902,A028,22.2,GO
2500734,A334,38.35,PB
3501905,A739,32.85,SP
3102506,A510,29.36,MG
4101002,A855,35.38,PR
2700201,A353,36.62,AL
2901205,A414,46.92,BA
4101051,B803,34.65,PR
3502002,A711,28.22,SP
1500800,A201,8.94,PA
5201108,A002,45.13,GO
2100808,A206,28.81,MA
5000708,A719,2.86,MS
4200804,A857,33.01,SC
3200409,A615,20.49,ES
2901304,A425,28.22,BA
4101101,A716,40.04,PR
2901353,A428,35.43,BA
3102605,A530,25.78,MG
3502101,A704,36.51,SP
4300661,A894,29.65,RS
3102852,A541,13.48,MG
5000856,S701,0.89,MS
2601003,A322,22.51,PE
4200903,A870,13.16,SC
2901403,A402,37.88,BA
2200608,A377,1.39,PI
2400802,A372,32.14,RN
3300100,A628,3.29,RJ
2901502,A413,30.8,BA
4101150,A835,23.49,PR
5201207,A034,36.79,GO
3502408,A707,19.38,SP
2200707,A337,32.18,PI
4201000,A898,34.6,SC
4201109,A870,26.28,SC
4300703,B860,15.53,RS
2901601,A450,33.89,BA
4101200,A873,11.91,PR
2200806,A346,30.7,PI
2901700,A406,27.09,BA
4201208,A806,17.12,SC
3102902,A502,10.57,MG
3103009,A511,27.56,MG
2901809,A428,20.58,BA
5000906,A703,46.76,MS
4101309,A874,23.54,PR
4300802,B817,30.52,RS
3103108,A517,29.1,MG
2500775,A333,26.17,PB
3502507,A769,29.33,SP
3502606,A733,43.59,SP
5201405,A002,19.89,GO
1701101,A009,44.73,TO
5001003,A710,44.47,MS
3300159,A604,15.4,RJ
3200508,A617,45.45,ES
5100805,A910,7.6,MT
2100832,A219,38.97,MA
4201257,A817,18.23,SC
2401008,A340,3.74,RN
5201504,A742,27.86,GO
2901957,A445,35.81,BA
1300144,A113,1.51,AM
2800209,A453,46.31,SE
5001102,A719,1.04,MS
2301000,A305,18.88,CE
4201273,A858,35.22,SC
2500809,A310,40.74,PB
3103207,A569,29.97,MG
2800308,A409,5.04,SE
3502754,A755,21.8,SP
2301109,A339,31.99,CE
2902005,A433,35.33,BA
2902104,A441,38.39,BA
3103306,A557,25.31,MG
2601052,A301,33.41,PE
2301208,A314,22.46,CE
3502903,A713,9.11,SP
3200607,A613,36.8,ES
3103405,A566,3.05,MG
5201702,A013,1.18,GO
5201801,A002,38.21,GO
1701309,A048,28.12,TO
1701903,A256,34.03,TO
1702000,A054,49.21,TO
5101001,A945,45.48,MT
1702109,A021,9.85,TO
2100873,A255,35.9,MA
3103504,A507,30.87,MG
1702208,A044,1.29,TO
2100907,A308,25.64,MA
5001243,S702,1.98,MS
4300851,A838,33.41,RS
3503000,A753,30.22,SP
3503109,A725,11.74,SP
3503158,A609,24.5,SP
2700300,A353,7.2,AL
3103702,A510,37.48,MG
3103751,A035,2.99,MG
4101606,A872,41.15,PR
4101655,A822,21.69,PR
5101258,A961,34.37,MT
4201307,A851,33.59,SC
2500908,A310,16.9,PB
4201406,A867,0.76,SC
3503208,A711,37.35,SP
3503307,A726,45.63,SP
4300877,A884,14.53,RS
2301307,A347,29.21,CE
3300209,A659,26.31,RJ
2501005,A367,46.96,PB
2902252,A437,35.18,BA
4300901,A828,28.92,RS
2301406,A314,22.59,CE
2902302,A444,33.04,BA
2800407,A417,19.11,SE
4101804,A807,23.2,PR
3103900,A564,40.01,MG
3104007,A505,1.85,MG
3104106,A738,48.91,MG
3503356,A768,17.35,SP
3104205,A524,20.68,MG
2601201,A309,2.06,PE
3104304,A567,41.39,MG
3300225,A625,17.54,RJ
3503406,A737,22.77,SP
2501104,A310,2.59,PB
2401107,A318,27.32,RN
2800506,A451,18.64,SE
2501153,A321,36.91,PB
2501203,A313,19.97,PB
3503505,A635,22.77,SP
3503604,A741,24.58,SP
5202353,A028,43.68,GO
2401206,A304,39.39,RN
3104403,A629,43.65,MG
3104452,A541,24.95,MG
5101407,A964,1.18,MT
1100023,A940,9.1,RO
3503703,A736,7.96,SP
4101853,A822,37.84,PR
3300233,A606,28.43,RJ
4201505,A814,43.0,SC
2301505,A324,35.64,CE
2200905,A363,35.04,PI
2501302,A328,34.37,PB
2200954,A343,23.97,PI
3300258,A606,0.59,RJ
1702406,A032,36.46,TO
4301008,A882,13.88,RS
4301073,A811,26.51,RS
4301057,B841,16.7,RS
4301206,B840,10.7,RS
4301107,B810,5.26,RS
4301305,B826,38.58,RS
4201604,A841,34.64,SC
3503802,A739,41.62,SP
3503901,A701,32.56,SP
4201653,A858,16.14,SC
4301404,B860,28.41,RS
4201703,A817,11.85,SC
3503950,A733,13.89,SP
4101903,A842,27.83,PR
3104601,A557,48.91,MG
4102109,A835,33.31,PR
4102208,A835,30.84,PR
2700409,A303,26.5,AL
1300201,S105,31.94,AM
4201802,A863,13.03,SC
3104700,A527,45.58,MG
3504107,A744,18.93,SP
3200706,A622,26.63,ES
1702554,A044,31.66,TO
1500909,A226,18.69,PA
4301503,B835,19.15,RS
4301552,A828,25.46,RS
2902401,A410,40.79,BA
5202601,A027,31.98,GO
4201901,A863,12.19,SC
1300300,A120,0.5,AM
3504305,A705,39.04,SP
3504404,A727,32.14,SP
3504503,A725,1.73,SP
2101103,A203,38.64,MA
1702901,A225,34.93,TO
1703008,A205,36.18,TO
2101202,A220,2.45,MA
2101301,A219,26.93,MA
2101350,S108,13.05,MA
3104908,A529,49.4,MG
4301602,A827,8.46,RS
1501105,A228,39.55,PA
2501401,A352,26.15,PB
2401404,A352,25.7,RN
2902609,A412,28.37,BA
2301802,A333,46.21,CE
3200805,A534,8.47,ES
3504701,A727,46.23,SP
3105004,A569,29.34,MG
5203104,A013,45.33,GO
4201950,A867,9.06,SC
4202057,A851,42.17,SC
4202008,A868,13.39,SC
4202073,A867,26.0,SC
4212809,A868,22.63,SC
4301636,B836,26.47,RS
4220000,A867,27.89,SC
4102307,A807,42.59,PR
2101400,A204,8.58,MA
3105103,A565,3.85,MG
2301851,A369,39.57,CE
3504909,A609,28.3,SP
2501500,A310,27.35,PB
3105202,A508,34.76,MG
3105301,A530,20.82,MG
4202081,A857,12.74,SC
5001508,S703,2.27,MS
4102406,A842,40.22,PR
1703057,A049,39.18,TO
2902658,A442,41.3,BA
4301651,A840,23.45,RS
3505005,A821,41.37,SP
3105400,A572,49.84,MG
4301701,A828,8.37,RS
2101509,A311,3.13,MA
3105509,A517,21.14,MG
4301750,B811,13.72,RS
2401453,A339,27.53,RN
3105608,A502,0.81,MG
2301901,A315,3.43,CE
3505104,A735,20.3,SP
4102505,A822,44.82,PR
1501303,A201,22.94,PA
2401503,A367,33.66,RN
1300409,A128,0.88,AM
3505203,A737,24.86,SP
2902708,A429,0.78,BA
4202099,A857,16.46,SC
3505302,A741,2.2,SP
2201176,A363,41.7,PI
2601300,A357,29.1,PE
2501609,A310,48.0,PB
2501575,A348,32.76,PB
2700508,A356,14.15,AL
3200904,A540,9.89,ES
2501708,A348,29.46,PB
2700607,A303,35.23,AL
5101704,A967,0.97,MT
2902906,A414,24.0,BA
2101608,A221,1.68,MA
5101803,A013,3.19,MT
4301859,B845,32.54,RS
4102703,A716,37.16,PR
1703073,A205,46.56,TO
3300308,A611,18.48,RJ
4301875,B848,22.9,RS
4301909,B825,16.84,RS
4301925,A828,29.67,RS
2903102,A445,10.56,BA
3505401,A746,24.22,SP
2800605,A409,6.36,SE
4301958,A856,27.41,RS
3300407,A626,18.1,RJ
4202107,A868,35.56,SC
4301800,B861,16.71,RS
4102604,A848,4.04,PR
2201200,A338,38.72,PI
2301950,A314,35.67,CE
2903201,A402,3.91,BA
2201309,A364,14.9,PI
1300508,A123,38.92,AM
2101707,A218,22.53,MA
2601409,A357,45.44,PE
3505500,A748,2.67,SP
3505609,A747,17.66,SP
2903235,A424,48.2,BA
5203203,A022,29.62,GO
2201408,A362,24.88,PI
2903300,A410,35.1,BA
2903276,A441,16.41,BA
4302006,A837,26.49,RS
3105905,A502,21.58,MG
3505708,A755,2.24,SP
3505807,A768,25.33,SP
5001904,A759,6.35,MS
2201507,A338,22.15,PI
2700706,A323,33.69,AL
3505906,A708,40.64,SP
5002001,S713,31.31,MS
2302107,A314,13.79,CE
3506003,A705,7.05,SP
2501807,A320,8.86,PB
3506102,A764,0.81,SP
2302305,A360,11.89,CE
5002100,A757,1.62,MS
4102752,A855,19.56,PR
5203302,A002,46.24,GO
4202131,A864,16.75,SC
1501402,A201,7.46,PA
2501906,A310,34.14,PB
2700805,A327,21.95,AL
2601508,A357,29.55,PE
2601607,A351,44.85,PE
3300456,A621,10.9,RJ
3106101,A518,19.87,MG
4202156,A857,8.78,SC
2903409,A447,44.22,BA
3106200,A572,3.76,MG
2601706,A341,43.82,PE
2700904,A323,18.74,AL
3106309,A511,42.0,MG
3106408,A513,32.76,MG
1501451,A250,28.33,PA
2101806,A346,34.79,MA
4202206,A817,17.3,SC
1501501,A201,22.47,PA
1300607,S105,17.91,AM
4302055,B846,24.26,RS
3506201,A734,13.29,SP
4302105,A840,1.73,RS
2101905,S108,29.65,MA
3106507,A566,46.81,MG
3106655,A549,34.38,MG
3506300,A716,38.47,SP
2101939,A220,42.82,MA
3506359,A765,0.57,SP
2201705,A346,48.51,PI
2601805,A349,44.53,PE
2201739,A330,37.9,PI
3106705,A555,21.08,MG
2601904,A341,29.01,PE
3106804,A502,41.56,MG
3106903,A557,28.89,MG
4202305,A806,12.48,SC
3506409,A734,48.12,SP
3506508,A735,49.44,SP
3506607,A765,32.31,SP
2903607,A441,24.58,BA
4102901,A875,33.02,PR
4202404,A817,19.55,SC
4103008,A825,27.4,PR
3201001,A623,19.65,ES
4103024,A843,13.75,PR
3506706,A737,44.84,SP
2201770,A335,40.83,PI
2502102,A373,12.8,PB
2302404,A325,49.68,CE
1400100,A135,1.89,RR
2502151,A348,25.06,PB
4103057,A843,43.56,PR
4302154,A856,28.16,RS
4302204,B845,35.57,RS
4302220,A853,13.66,RS
4302238,B833,30.5,RS
1300680,A122,48.2,AM
4302253,A882,18.31,RS
2903805,A408,36.09,BA
2701001,A353,48.05,AL
1300706,A110,7.56,AM
2201804,A343,17.36,PI
3506805,A741,37.38,SP
3107208,A609,31.71,MG
4202438,A865,39.2,SC
3107307,A506,47.63,MG
4103107,B806,13.61,PR
2602001,A366,22.17,PE
5002159,A722,33.23,MS
3507001,A713,18.29,SP
2602100,A327,28.83,PE
3107406,A536,44.96,MG
3300506,A629,30.07,RJ
2602209,A328,23.88,PE
2102002,A255,30.67,MA
4202503,A845,28.06,SC
5203401,A013,34.63,GO
4202537,A858,22.92,SC
4302303,B856,1.21,RS
2201903,A326,3.56,PI
2401701,A304,44.28,RN
2502201,A333,36.9,PB
2903904,A418,0.6,BA
3107604,A516,32.32,MG
2102036,A238,49.13,MA
5101852,A943,21.99,MT
3107802,A554,21.82,MG
3300605,A617,48.23,RJ
3201100,A617,45.04,ES
4202578,A816,40.18,SC
4103156,A848,10.77,PR
